,accuracy,loss,val_accuracy,val_loss
0,0.20038168132305145,12.206964492797852,0.53125,4.991433620452881
1,0.35305342078208923,3.735069990158081,0.4427083432674408,2.6634299755096436
2,0.4694656431674957,2.298877716064453,0.484375,1.744263768196106
3,0.5515267252922058,1.4466172456741333,0.5729166865348816,1.2783781290054321
4,0.6469465494155884,1.0164337158203125,0.7083333134651184,0.8955045342445374
5,0.7118055820465088,0.7414578199386597,0.71875,0.8041558861732483
6,0.7538167834281921,0.6494554281234741,0.7604166865348816,0.6926312446594238
7,0.8015267252922058,0.49177759885787964,0.765625,0.7024385333061218
8,0.8167939186096191,0.4921577274799347,0.7447916865348816,0.7314442992210388
9,0.8568702340126038,0.40339601039886475,0.8385416865348816,0.6184232831001282
10,0.8958333134651184,0.2666662335395813,0.8645833134651184,0.42422616481781006
11,0.9427480697631836,0.17281632125377655,0.9166666865348816,0.36284196376800537
12,0.9656488299369812,0.14597998559474945,0.9270833134651184,0.2891864478588104
13,0.9732824563980103,0.09969699382781982,0.921875,0.27384936809539795
14,0.9809160232543945,0.07695479691028595,0.9010416865348816,0.34640002250671387
15,0.9809160232543945,0.07501368969678879,0.9479166865348816,0.2510460317134857
16,0.9847328066825867,0.05689379945397377,0.921875,0.34091731905937195
17,0.9312977194786072,0.16101068258285522,0.9114583134651184,0.3947547376155853
18,0.9122137427330017,0.23618757724761963,0.9166666865348816,0.3129451870918274
19,0.9293892979621887,0.18098650872707367,0.9114583134651184,0.3264221251010895
20,0.944656491279602,0.17882601916790009,0.8645833134651184,0.5111476182937622
21,0.902671754360199,0.27941030263900757,0.9166666865348816,0.2869223356246948
22,0.9561068415641785,0.14163817465305328,0.8958333134651184,0.381246954202652
23,0.9652777910232544,0.10573813319206238,0.9270833134651184,0.3726162910461426
24,0.982824444770813,0.05223609879612923,0.9427083134651184,0.22432345151901245
25,0.9942747950553894,0.021482784301042557,0.9479166865348816,0.2000889927148819
26,0.9885495901107788,0.024006566032767296,0.96875,0.1707552671432495
27,1.0,0.007432977668941021,0.9791666865348816,0.1686219722032547
28,1.0,0.005491497926414013,0.96875,0.16007240116596222
29,0.9982638955116272,0.003598312847316265,0.9479166865348816,0.20042993128299713
30,1.0,0.001787814311683178,0.9583333134651184,0.18093430995941162
31,1.0,0.0010336762061342597,0.9739583134651184,0.1487702578306198
32,1.0,0.0008152779191732407,0.9739583134651184,0.14891594648361206
33,1.0,0.0007006583036854863,0.9739583134651184,0.1495334655046463
34,1.0,0.0006702301325276494,0.96875,0.15185891091823578
35,1.0,0.0005508229369297624,0.96875,0.15474197268486023
36,1.0,0.0005957145476713777,0.96875,0.15519149601459503
37,1.0,0.0005093489307910204,0.9739583134651184,0.15666598081588745
38,1.0,0.00045874278293922544,0.984375,0.05754983797669411
39,1.0,0.0004580259555950761,0.9791666865348816,0.15485186874866486
40,1.0,0.00044395282748155296,0.9739583134651184,0.15974821150302887
41,1.0,0.0003880659060087055,0.9739583134651184,0.15909260511398315
42,1.0,0.0003779995604418218,0.9739583134651184,0.16020601987838745
43,1.0,0.0003858409181702882,0.9739583134651184,0.16043806076049805
44,1.0,0.0003564855142030865,0.9739583134651184,0.15954722464084625
45,1.0,0.000340775033691898,0.9791666865348816,0.1595221757888794
46,1.0,0.0003317041846457869,0.9791666865348816,0.15945939719676971
47,1.0,0.00031090498669072986,0.9791666865348816,0.1586991399526596
48,1.0,0.0002930165210273117,0.9791666865348816,0.1628502756357193
49,1.0,0.0002883571432903409,0.9791666865348816,0.16207443177700043
50,1.0,0.0002765542012639344,0.9791666865348816,0.164928138256073
51,1.0,0.00026212018565274775,0.9739583134651184,0.16576996445655823
52,1.0,0.0002487168530933559,0.9739583134651184,0.16285939514636993
53,1.0,0.0002576025726739317,0.96875,0.1654454618692398
54,1.0,0.00023110870097298175,0.96875,0.1682700365781784
55,1.0,0.00022898080351296812,0.9791666865348816,0.05783747509121895
56,1.0,0.00022594159236177802,0.9791666865348816,0.1395554393529892
57,1.0,0.0002143731981050223,0.9791666865348816,0.1658180058002472
58,1.0,0.0002087980101350695,0.9791666865348816,0.16784416139125824
