,accuracy,loss,val_accuracy,val_loss
0,0.20114941895008087,4.502370357513428,0.16335226595401764,2.9882888793945312
1,0.22318007051944733,2.5381929874420166,0.16477273404598236,2.598500967025757
2,0.24952107667922974,2.242412567138672,0.1931818127632141,2.329371452331543
3,0.31609195470809937,1.904854416847229,0.25284090638160706,2.063051462173462
4,0.31992337107658386,1.8426793813705444,0.2556818127632141,2.1149613857269287
5,0.352011501789093,1.7477149963378906,0.2798295319080353,2.1751973628997803
6,0.38553640246391296,1.6452951431274414,0.3025568127632141,2.0909533500671387
7,0.42624521255493164,1.5647192001342773,0.31960228085517883,2.1441657543182373
8,0.4353448152542114,1.4830435514450073,0.29403409361839294,2.1097195148468018
9,0.4789271950721741,1.3990410566329956,0.28835228085517883,2.249498128890991
10,0.4937739372253418,1.3879538774490356,0.26846590638160706,2.3417844772338867
11,0.5272988677024841,1.2846934795379639,0.3011363744735718,2.306213140487671
12,0.5694444179534912,1.1796646118164062,0.24715909361839294,2.3846800327301025
13,0.5991379022598267,1.088672161102295,0.296875,2.4876110553741455
14,0.6221264600753784,1.0373857021331787,0.28409090638160706,2.6436426639556885
15,0.6561302542686462,0.9487200379371643,0.2769886255264282,2.6573984622955322
16,0.6795976758003235,0.8446887135505676,0.31534090638160706,2.907745122909546
17,0.7102490663528442,0.8066969513893127,0.2798295319080353,3.180677652359009
18,0.7624521255493164,0.674541175365448,0.2954545319080353,3.3546042442321777
19,0.7801724076271057,0.6133138537406921,0.28125,3.608905553817749
20,0.782567024230957,0.6166501045227051,0.26278409361839294,3.8929786682128906
21,0.7998084425926208,0.5581057071685791,0.28409090638160706,3.891266107559204
22,0.8472222089767456,0.4410538971424103,0.265625,4.362705707550049
23,0.8839961886405945,0.3244064748287201,0.2911931872367859,4.725004196166992
24,0.8864942789077759,0.32227858901023865,0.28835228085517883,4.925032138824463
25,0.8706896305084229,0.35793793201446533,0.29403409361839294,4.794731616973877
26,0.8864942789077759,0.30390238761901855,0.3125,5.29606819152832
27,0.9128352403640747,0.25171253085136414,0.29971590638160706,5.291676044464111
